      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.340       34     N    0    0    0
    0:01.230      123     N    0    0    0
    0:02.070      207     N    0    0    0
    0:02.900      290     N    0    0    0
    0:03.730      373     N    0    0    0
    0:04.610      461     N    0    0    0
    0:05.540      554     N    0    0    0
    0:06.520      652     N    0    0    0
    0:07.460      746     N    0    0    0
    0:08.390      839     N    0    0    0
    0:09.320      932     N    0    0    0
    0:10.330     1033     N    0    0    0
    0:11.350     1135     N    0    0    0
    0:12.360     1236     N    0    0    0
    0:13.350     1335     N    0    0    0
    0:14.320     1432     N    0    0    0
    0:15.270     1527     N    0    0    0
    0:16.250     1625     N    0    0    0
    0:17.250     1725     N    0    0    0
    0:18.200     1820     N    0    0    0
    0:19.100     1910     N    0    0    0
    0:19.950     1995     N    0    0    0
    0:20.810     2081     N    0    0    0
    0:21.780     2178     N    0    0    0
    0:22.710     2271     N    0    0    0
    0:23.640     2364     N    0    0    0
    0:24.470     2447     N    0    0    0
    0:25.250     2525     N    0    0    0
    0:26.020     2602     N    0    0    0
    0:26.830     2683     N    0    0    0
    0:27.640     2764     N    0    0    0
    0:28.480     2848     N    0    0    0
    0:29.320     2932     N    0    0    0
    0:30.130     3013     N    0    0    0
    0:30.950     3095     N    0    0    0
    0:31.850     3185     N    0    0    0
    0:32.850     3285     N    0    0    0
    0:33.780     3378     N    0    0    0
    0:34.660     3466     N    0    0    0
    0:35.520     3552     N    0    0    0
    0:36.370     3637     N    0    0    0
    0:37.240     3724     N    0    0    0
    0:38.130     3813     N    0    0    0
    0:39.040     3904     N    0    0    0
    0:39.960     3996     N    0    0    0
    0:40.840     4084     N    0    0    0
    0:41.810     4181     N    0    0    0
    0:42.810     4281     N    0    0    0
    0:43.750     4375     N    0    0    0
    0:44.610     4461     N    0    0    0
    0:45.430     4543     N    0    0    0
    0:46.260     4626     N    0    0    0
    0:47.140     4714     N    0    0    0
    0:48.020     4802     N    0    0    0
    0:48.900     4890     N    0    0    0
    0:49.820     4982     N    0    0    0
    0:50.720     5072     N    0    0    0
    0:51.610     5161     N    0    0    0
    0:52.540     5254     N    0    0    0
    0:53.440     5344     N    0    0    0
    0:54.340     5434     N    0    0    0
    0:55.250     5525     N    0    0    0
    0:56.160     5616     N    0    0    0
    0:57.040     5704     N    0    0    0
    0:57.920     5792     N    0    0    0
    0:58.850     5885     N    0    0    0
    0:59.740     5974     N    0    0    0
    1:00.620     6062     N    0    0    0
    1:01.530     6153     N    0    0    0
    1:02.420     6242     N    0    0    0
    1:03.290     6329     N    0    0    0
    1:04.190     6419     N    0    0    0
    1:05.030     6503     N    0    0    0
    1:05.860     6586     N    0    0    0
    1:06.690     6669     N    0    0    0
    1:07.610     6761     N    0    0    0
    1:08.480     6848     N    0    0    0
    1:09.340     6934     N    0    0    0
    1:10.180     7018     N    0    0    0
    1:11.050     7105     N    0    0    0
    1:11.890     7189     N    0    0    0
    1:12.730     7273     N    0    0    0
    1:13.580     7358     N    0    0    0
    1:14.410     7441     N    0    0    0
    1:15.200     7520     N    0    0    0
    1:16.010     7601     N    0    0    0
    1:16.850     7685     N    0    0    0
    1:17.690     7769     N    0    0    0
    1:18.500     7850     N    0    0    0
    1:19.280     7928     N    0    0    0
    1:20.070     8007     N    0    0    0
    1:20.920     8092     N    0    0    0
    1:21.780     8178     N    0    0    0
    1:22.700     8270     N    0    0    0
    1:23.560     8356     N    0    0    0
    1:24.370     8437     N    0    0    0
    1:25.170     8517     N    0    0    0
    1:25.980     8598     N    0    0    0
    1:26.830     8683     N    0    0    0
    1:27.710     8771     N    0    0    0
    1:28.560     8856     N    0    0    0
    1:29.380     8938     N    0    0    0
    1:30.150     9015     N    0    0    0
    1:30.890     9089     N    0    0    0
    1:31.600     9160     N    0    0    0
    1:32.300     9230     N    0    0    0
    1:33.080     9308     N    0    0    0
    1:33.910     9391     N    0    0    0
    1:34.790     9479     N    0    0    0
    1:35.660     9566     N    0    0    0
    1:36.510     9651     N    0    0    0
    1:37.340     9734     N    0    0    0
    1:38.160     9816     N    0    0    0
    1:39.000     9900     N    0    0    0
    1:39.800     9980     N    0    0    0
    1:40.590    10059     N    0    0    0
    1:41.370    10137     N    0    0    0
    1:42.240    10224     N    0    0    0
    1:43.080    10308     N    0    0    0
    1:43.970    10397     N    0    0    0
    1:44.770    10477     N    0    0    0
    1:45.560    10556     N    0    0    0
    1:46.430    10643     N    0    0    0
    1:47.350    10735     N    0    0    0
    1:48.230    10823     N    0    0    0
    1:49.080    10908     N    0    0    0
    1:49.910    10991     N    0    0    0
    1:50.760    11076     N    0    0    0
    1:51.680    11168     N    0    0    0
    1:52.620    11262     N    0    0    0
    1:53.510    11351     N    0    0    0
    1:54.360    11436     N    0    0    0
    1:55.180    11518     N    0    0    0
    1:56.010    11601     N    0    0    0
    1:56.860    11686     N    0    0    0
    1:57.710    11771     N    0    0    0
    1:58.510    11851     N    0    0    0
    1:59.330    11933     N    0    0    0
    2:00.230    12023     N    0    0    0
    2:01.150    12115     N    0    0    0
    2:02.020    12202     N    0    0    0
    2:02.850    12285     N    0    0    0
    2:03.730    12373     N    0    0    0
    2:04.650    12465     N    0    0    0
    2:05.580    12558     N    0    0    0
    2:06.500    12650     N    0    0    0
    2:07.390    12739     N    0    0    0
    2:08.310    12831     N    0    0    0
    2:09.250    12925     N    0    0    0
    2:10.160    13016     N    0    0    0
    2:11.030    13103     N    0    0    0
    2:11.910    13191     N    0    0    0
    2:12.810    13281     N    0    0    0
    2:13.720    13372     N    0    0    0
    2:14.590    13459     N    0    0    0
    2:15.370    13537     N    0    0    0
    2:16.120    13612     N    0    0    0
    2:16.850    13685     N    0    0    0
    2:17.660    13766     N    0    0    0
    2:18.640    13864     N    0    0    0
    2:19.560    13956     N    0    0    0
    2:20.410    14041     N    0    0    0
    2:21.190    14119     N    0    0    0
    2:21.940    14194     N    0    0    0
    2:22.690    14269     N    0    0    0
    2:23.560    14356     N    0    0    0
    2:24.430    14443     N    0    0    0
    2:25.300    14530     N    0    0    0
    2:26.140    14614     N    0    0    0
    2:26.950    14695     N    0    0    0
    2:27.720    14772     N    0    0    0
    2:28.460    14846     N    0    0    0
    2:29.190    14919     N    0    0    0
    2:29.950    14995     N    0    0    0
    2:30.750    15075     N    0    0    0
    2:31.540    15154     N    0    0    0
    2:32.330    15233     N    0    0    0
    2:33.120    15312     N    0    0    0
    2:33.890    15389     N    0    0    0
    2:34.640    15464     N    0    0    0
    2:35.370    15537     N    0    0    0
    2:36.080    15608     N    0    0    0
    2:36.770    15677     N    0    0    0
    2:37.440    15744     N    0    0    0
    2:38.110    15811     N    0    0    0
    2:38.800    15880     N    0    0    0
    2:39.510    15951     N    0    0    0
    2:40.230    16023     N    0    0    0
    2:40.930    16093     N    0    0    0
    2:41.630    16163     N    0    0    0
    2:42.370    16237     N    0    0    0
    2:43.210    16321     N    0    0    0
    2:44.100    16410     N    0    0    0
    2:44.980    16498     N    0    0    0
    2:45.880    16588     N    0    0    0
    2:46.780    16678     N    0    0    0
    2:47.690    16769     N    0    0    0
    2:48.580    16858     N    0    0    0
    2:49.470    16947     N    0    0    0
    2:50.380    17038     N    0    0    0
    2:51.210    17121     N    0    0    0
    2:52.010    17201     N    0    0    0
    2:52.770    17277     N    0    0    0
    2:53.500    17350     N    0    0    0
    2:54.220    17422     N    0    0    0
    2:54.950    17495     N    0    0    0
    2:55.670    17567     N    0    0    0
    2:56.400    17640     N    0    0    0
    2:57.160    17716     N    0    0    0
    2:57.920    17792     N    0    0    0
    2:58.700    17870     N    0    0    0
    2:59.480    17948     N    0    0    0
    3:00.240    18024     N    0    0    0
    3:00.990    18099     N    0    0    0
    3:01.730    18173     N    0    0    0
    3:02.540    18254     N    0    0    0
    3:03.390    18339     N    0    0    0
    3:04.220    18422     N    0    0    0
    3:05.010    18501     N    0    0    0
    3:05.790    18579     N    0    0    0
    3:06.560    18656     N    0    0    0
    3:07.320    18732     N    0    0    0
    3:08.070    18807     N    0    0    0
    3:08.800    18880     N    0    0    0
    3:09.540    18954     N    0    0    0
    3:10.270    19027     N    0    0    0
    3:10.990    19099     N    0    0    0
    3:11.710    19171     N    0    0    0
    3:12.420    19242     N    0    0    0
    3:13.120    19312     N    0    0    0
    3:13.800    19380     N    0    0    0
    3:14.460    19446     N    0    0    0
    3:15.120    19512     N    0    0    0
    3:15.760    19576     N    0    0    0
    3:16.390    19639     N    0    0    0
    3:17.020    19702     N    0    0    0
    3:17.640    19764     N    0    0    0
    3:18.240    19824     N    0    0    0
    3:18.850    19885     N    0    0    0
    3:19.460    19946     N    0    0    0
    3:20.100    20010     N    0    0    0
    3:20.820    20082     N    0    0    0
    3:21.600    20160     N    0    0    0
    3:22.380    20238     N    0    0    0
    3:23.130    20313     N    0    0    0
    3:23.890    20389     N    0    0    0
    3:24.680    20468     N    0    0    0
    3:25.480    20548     N    0    0    0
    3:26.270    20627     N    0    0    0
    3:27.070    20707     N    0    0    0
    3:27.850    20785     N    0    0    0
    3:28.630    20863     N    0    0    0
    3:29.470    20947     N    0    0    0
    3:30.300    21030     N    0    0    0
    3:31.100    21110     N    0    0    0
    3:31.930    21193     N    0    0    0
    3:32.760    21276     N    0    0    0
    3:33.540    21354     N    0    0    0
    3:34.320    21432     N    0    0    0
    3:35.110    21511     N    0    0    0
    3:35.940    21594     N    0    0    0
    3:36.770    21677     N    0    0    0
    3:37.530    21753     N    0    0    0
    3:38.240    21824     N    0    0    0
    3:38.950    21895     N    0    0    0
    3:39.640    21964     N    0    0    0
    3:40.360    22036     N    0    0    0
    3:41.100    22110     N    0    0    0
    3:41.910    22191     N    0    0    0
    3:42.680    22268     N    0    0    0
    3:43.490    22349     N    0    0    0
    3:44.310    22431     N    0    0    0
    3:45.150    22515     N    0    0    0
    3:45.930    22593     N    0    0    0
    3:46.680    22668     N    0    0    0
    3:47.430    22743     N    0    0    0
    3:48.150    22815     N    0    0    0
    3:48.860    22886     N    0    0    0
    3:49.540    22954     N    0    0    0
    3:50.220    23022     N    0    0    0
    3:50.920    23092     N    0    0    0
    3:51.640    23164     N    0    0    0
    3:52.410    23241     N    0    0    0
    3:53.230    23323     N    0    0    0
    3:54.030    23403     N    0    0    0
    3:54.800    23480     N    0    0    0
    3:55.560    23556     N    0    0    0
    3:56.300    23630     N    0    0    0
    3:57.060    23706     N    0    0    0
    3:57.820    23782     N    0    0    0
    3:58.580    23858     N    0    0    0
    3:59.350    23935     N    0    0    0
    4:00.150    24015     N    0    0    0
    4:00.950    24095     N    0    0    0
    4:01.740    24174     N    0    0    0
    4:02.550    24255     N    0    0    0
    4:03.340    24334     N    0    0    0
    4:04.150    24415     N    0    0    0
    4:04.950    24495     N    0    0    0
    4:05.750    24575     N    0    0    0
    4:06.540    24654     N    0    0    0
    4:07.330    24733     N    0    0    0
    4:08.120    24812     N    0    0    0
    4:08.880    24888     N    0    0    0
    4:09.600    24960     N    0    0    0
    4:10.320    25032     N    0    0    0
    4:11.050    25105     N    0    0    0
    4:11.750    25175     N    0    0    0
    4:12.480    25248     N    0    0    0
    4:13.240    25324     N    0    0    0
    4:14.020    25402     N    0    0    0
    4:14.820    25482     N    0    0    0
    4:15.600    25560     N    0    0    0
    4:16.390    25639     N    0    0    0
    4:17.170    25717     N    0    0    0
    4:17.950    25795     N    0    0    0
    4:18.730    25873     N    0    0    0
    4:19.520    25952     N    0    0    0
    4:20.300    26030     N    0    0    0
    4:21.090    26109     N    0    0    0
    4:21.900    26190     N    0    0    0
    4:22.720    26272     N    0    0    0
    4:23.520    26352     N    0    0    0
    4:24.320    26432     N    0    0    0
    4:25.120    26512     N    0    0    0
    4:25.910    26591     N    0    0    0
    4:26.680    26668     N    0    0    0
    4:27.430    26743     N    0    0    0
    4:28.180    26818     N    0    0    0
    4:28.970    26897     N    0    0    0
    4:29.800    26980     N    0    0    0
    4:30.660    27066     N    0    0    0
    4:31.450    27145     N    0    0    0
    4:32.190    27219     N    0    0    0
    4:32.920    27292     N    0    0    0
    4:33.650    27365     N    0    0    0
    4:34.340    27434     N    0    0    0
    4:35.040    27504     N    0    0    0
