        Gain ABP: 85.953 adu/mmHg
		 Baseline ABP: -1332
	   sample #	    ABP	    ECG	    ICP
              0	  -1333	     81	   -316	       -0.012	
              1	  -1333	    -10	   -364
              2	  -1336	   -209	   -374
              3	  -1308	   -307	   -327
              4	  -1318	   -385	   -325
              5	  -1341	   -369	   -316
              6	  -1332	   -380	   -291
              7	  -1314	   -351	   -182
              8	  -1319	   -333	   -143
              9	  -1338	   -342	   -137
             10	  -1336	   -339	   -177
             11	  -1331	   -384	   -141
             12	  -1298	   -413	   -129
             13	  -1339	   -354	   -140
             14	  -1335	   -350	   -186
             15	  -1312	    -64	   -186
             16	  -1338	   -122	   -135
             17	  -1339	   -348	   -121
             18	  -1328	   -386	   -110
             19	  -1290	   -435	    -94
             20	  -1338	  -1666	    -93
             21	  -1300	   4386	    -10
             22	  -1314	   4756	      1
             23	  -1307	   -946	    -62
             24	  -1326	   -728	    -52
             25	  -1298	   -602	     -2
             26	  -1319	   -561	     -1
             27	  -1336	   -491	    -62
             28	  -1339	   -410	   -191
             29	  -1324	   -301	   -319
             30	  -1326	   -166	   -417
             31	  -1339	     17	   -419
             32	  -1336	    172	   -414
             33	  -1332	    198	   -481
             34	  -1335	     55	   -545
             35	  -1328	   -128	   -564
             36	  -1301	   -216	   -519
             37	  -1315	   -307	   -486
             38	  -1335	   -355	   -458
             39	  -1342	   -306	   -419
             40	  -1295	   -307	   -386
             41	  -1300	   -332	   -291
             42	  -1318	   -380	   -266
             43	  -1328	   -380	   -353
             44	  -1301	   -377	   -327
             45	  -1335	   -406	   -316
             46	  -1339	   -323	   -332
             47	  -1331	   -270	   -319
             48	  -1314	    -60	   -324
             49	  -1332	   -234	   -330
             50	  -1304	   -383	   -288
             51	  -1318	   -442	   -240
             52	  -1321	   -810	   -138
             53	  -1339	   -647	    -80
             54	  -1307	   6750	    -94
             55	  -1331	    271	    -94
             56	  -1324	  -1018	    -85
             57	  -1328	   -609	    -59
             58	  -1332	   -590	    -35
             59	  -1331	   -532	    -41
             60	  -1333	   -447	   -177
             61	  -1309	   -350	   -308
             62	  -1329	   -264	   -453
             63	  -1322	    -73	   -463
             64	  -1332	    111	   -502
             65	  -1336	    230	   -511
             66	  -1331	    172	   -640
             67	  -1305	     10	   -672
             68	  -1328	   -179	   -608
             69	  -1332	   -277	   -562
             70	  -1328	   -309	   -558
             71	  -1324	   -350	   -505
             72	  -1339	   -335	   -466
             73	  -1291	   -336	   -381
             74	  -1329	   -353	   -335
             75	  -1329	   -355	   -352
             76	  -1366	   -351	   -335
             77	  -1329	   -390	   -371
             78	  -1335	   -355	   -367
             79	  -1339	   -333	   -335
             80	  -1335	   -131	   -322
             81	  -1328	    -82	   -322
             82	  -1329	   -274	   -272
             83	  -1341	   -355	   -190
             84	  -1328	   -354	   -182
             85	  -1324	  -1431	    -96
             86	  -1336	   1379	    -85
             87	  -1319	   6101	   -129
             88	  -1328	   -727	   -177
             89	  -1332	   -813	    -96
             90	  -1292	   -529	    -44
             91	  -1333	   -507	    -12
             92	  -1326	   -435	    -88
             93	  -1322	   -358	   -261
             94	  -1338	   -273	   -416
             95	  -1331	   -113	   -508
             96	  -1328	     80	   -508
             97	  -1338	    255	   -517
             98	  -1326	    294	   -584
             99	  -1331	    181	   -681
            100	  -1290	    -39	   -650
            101	  -1339	   -183	   -622
            102	  -1326	   -280	   -566
            103	  -1332	   -314	   -513
            104	  -1329	   -341	   -497
            105	  -1339	   -353	   -470
            106	  -1332	   -337	   -420
            107	  -1322	   -353	   -330
            108	  -1335	   -389	   -321
            109	  -1328	   -413	   -336
            110	  -1331	   -412	   -369
            111	  -1295	   -380	   -363
            112	  -1329	   -380	   -332
            113	  -1333	    -35	   -364
            114	  -1326	   -197	   -313
            115	  -1326	   -389	   -275
            116	  -1342	   -415	   -183
            117	  -1325	   -480	   -147
            118	  -1319	  -1743	    -93
            119	  -1331	   4365	    -91
            120	  -1338	   3729	   -130
            121	  -1331	  -1013	   -138
            122	  -1307	   -763	    -91
            123	  -1335	   -631	    -24
            124	  -1339	   -589	    -49
