sample interval	    ABP	    ECG	    ICP
     (0.02 sec)	 (mmHg)	   (mV)	 (mmHg)
              0	 -0.012	  0.079	 21.080
              1	 -0.012	  0.064	 20.574
              2	 -0.047	  0.031	 20.468
              3	  0.279	  0.015	 20.964
              4	  0.163	  0.002	 20.985
              5	 -0.105	  0.005	 21.080
              6	  0.000	  0.003	 21.343
              7	  0.209	  0.008	 22.492
              8	  0.151	  0.011	 22.903
              9	 -0.070	  0.009	 22.966
             10	 -0.047	  0.010	 22.545
             11	  0.012	  0.002	 22.924
             12	  0.396	 -0.002	 23.051
             13	 -0.081	  0.007	 22.935
             14	 -0.035	  0.008	 22.450
             15	  0.233	  0.055	 22.450
             16	 -0.070	  0.045	 22.987
             17	 -0.081	  0.008	 23.135
             18	  0.047	  0.002	 23.251
             19	  0.489	 -0.006	 23.419
             20	 -0.070	 -0.209	 23.430
             21	  0.372	  0.787	 24.305
             22	  0.209	  0.847	 24.421
             23	  0.291	 -0.090	 23.757
             24	  0.070	 -0.054	 23.862
             25	  0.396	 -0.034	 24.389
             26	  0.151	 -0.027	 24.400
             27	 -0.047	 -0.015	 23.757
             28	 -0.081	 -0.002	 22.397
             29	  0.093	  0.016	 21.048
             30	  0.070	  0.038	 20.015
             31	 -0.081	  0.068	 19.994
             32	 -0.047	  0.094	 20.047
             33	  0.000	  0.098	 19.341
             34	 -0.035	  0.074	 18.666
             35	  0.047	  0.044	 18.466
             36	  0.361	  0.030	 18.940
             37	  0.198	  0.015	 19.288
             38	 -0.035	  0.007	 19.583
             39	 -0.116	  0.015	 19.994
             40	  0.430	  0.015	 20.342
             41	  0.372	  0.011	 21.343
             42	  0.163	  0.003	 21.607
             43	  0.047	  0.003	 20.690
             44	  0.361	  0.003	 20.964
             45	 -0.035	 -0.001	 21.080
             46	 -0.081	  0.012	 20.911
             47	  0.012	  0.021	 21.048
             48	  0.209	  0.056	 20.995
             49	  0.000	  0.027	 20.932
             50	  0.326	  0.002	 21.375
             51	  0.163	 -0.007	 21.881
             52	  0.128	 -0.068	 22.956
             53	 -0.081	 -0.041	 23.567
             54	  0.291	  1.175	 23.419
             55	  0.012	  0.110	 23.419
             56	  0.093	 -0.102	 23.514
             57	  0.047	 -0.035	 23.788
             58	  0.000	 -0.032	 24.041
             59	  0.012	 -0.022	 23.978
             60	 -0.012	 -0.008	 22.545
             61	  0.268	  0.008	 21.164
             62	  0.035	  0.022	 19.636
             63	  0.116	  0.053	 19.530
             64	  0.000	  0.084	 19.119
             65	 -0.047	  0.103	 19.024
             66	  0.012	  0.094	 17.665
             67	  0.314	  0.067	 17.327
             68	  0.047	  0.036	 18.002
             69	  0.000	  0.020	 18.487
             70	  0.047	  0.015	 18.529
             71	  0.093	  0.008	 19.088
             72	 -0.081	  0.010	 19.499
             73	  0.477	  0.010	 20.395
             74	  0.035	  0.007	 20.879
             75	  0.035	  0.007	 20.700
             76	 -0.396	  0.008	 20.879
             77	  0.035	  0.001	 20.500
             78	 -0.035	  0.007	 20.542
             79	 -0.081	  0.011	 20.879
             80	 -0.035	  0.044	 21.016
             81	  0.047	  0.052	 21.016
             82	  0.035	  0.020	 21.543
             83	 -0.105	  0.007	 22.408
             84	  0.047	  0.007	 22.492
             85	  0.093	 -0.170	 23.398
             86	 -0.047	  0.292	 23.514
             87	  0.151	  1.069	 23.051
             88	  0.047	 -0.054	 22.545
             89	  0.000	 -0.068	 23.398
             90	  0.465	 -0.022	 23.946
             91	 -0.012	 -0.018	 24.284
             92	  0.070	 -0.006	 23.483
             93	  0.116	  0.007	 21.659
             94	 -0.070	  0.021	 20.026
             95	  0.012	  0.047	 19.056
             96	  0.047	  0.079	 19.056
             97	 -0.070	  0.107	 18.961
             98	  0.070	  0.114	 18.255
             99	  0.012	  0.095	 17.233
            100	  0.489	  0.059	 17.559
            101	 -0.081	  0.035	 17.854
            102	  0.070	  0.019	 18.445
            103	  0.000	  0.014	 19.003
            104	  0.035	  0.009	 19.172
            105	 -0.081	  0.007	 19.456
            106	  0.000	  0.010	 19.983
            107	  0.116	  0.007	 20.932
            108	 -0.035	  0.001	 21.027
            109	  0.047	 -0.002	 20.869
            110	  0.012	 -0.002	 20.521
            111	  0.430	  0.003	 20.584
            112	  0.035	  0.003	 20.911
            113	 -0.012	  0.060	 20.574
            114	  0.070	  0.033	 21.111
            115	  0.070	  0.001	 21.512
            116	 -0.116	 -0.003	 22.481
            117	  0.081	 -0.013	 22.861
            118	  0.151	 -0.221	 23.430
            119	  0.012	  0.783	 23.451
            120	 -0.070	  0.679	 23.040
            121	  0.012	 -0.101	 22.956
            122	  0.291	 -0.060	 23.451
            123	 -0.035	 -0.038	 24.157
            124	 -0.081	 -0.031	 23.894
            125	  0.035	 -0.022	 22.576
            126	  0.081	 -0.001	 21.027
            127	 -0.070	  0.015	 19.520
            128	  0.047	  0.050	 19.088
            129	  0.081	  0.078	 18.993
            130	 -0.035	  0.104	 18.729
            131	 -0.070	  0.098	 17.528
            132	  0.047	  0.077	 17.317
            133	  0.291	  0.049	 18.002
            134	 -0.035	  0.022	 18.118
            135	 -0.047	  0.011	 17.549
            136	 -0.012	  0.007	 18.898
            137	  0.151	  0.000	 20.373
            138	  0.035	  0.006	 20.405
            139	 -0.012	  0.002	 20.437
            140	  0.012	  0.002	 20.932
            141	 -0.035	 -0.002	 22.039
            142	  0.175	 -0.007	 21.427
            143	 -0.151	 -0.001	 21.364
            144	  0.442	  0.003	 22.018
            145	 -0.047	  0.021	 21.902
            146	 -0.105	  0.054	 21.986
            147	  0.070	  0.019	 22.703
            148	  0.093	 -0.008	 23.419
            149	  0.372	 -0.012	 23.525
            150	  0.361	 -0.069	 24.189
            151	  0.012	 -0.015	 24.516
            152	  0.047	  1.252	 24.979
            153	  0.198	  0.078	 24.242
            154	  0.000	 -0.107	 24.421
            155	  0.128	 -0.039	 24.916
            156	 -0.035	 -0.036	 25.306
            157	 -0.047	 -0.032	 25.306
            158	  0.012	 -0.019	 24.252
            159	  0.093	 -0.002	 22.460
            160	 -0.081	  0.016	 21.406
            161	  0.000	  0.047	 21.522
            162	  0.070	  0.075	 21.512
            163	  0.035	  0.088	 20.869
            164	 -0.047	  0.084	 19.646
            165	  0.396	  0.054	 19.404
            166	  0.070	  0.025	 20.015
            167	 -0.035	  0.010	 20.205
            168	 -0.070	  0.002	 20.837
            169	 -0.035	  0.003	 24.431
            170	  0.093	  0.004	 30.555
            171	  0.012	  0.008	 35.899
            172	  0.233	  0.008	 35.519
            173	  0.314	  0.006	 32.621
            174	  0.012	  0.002	 30.976
            175	  0.047	 -0.008	 31.588
            176	 -0.314	  0.003	 32.231
            177	  0.070	  0.002	 31.029
            178	  0.163	  0.039	 29.385
            179	 -0.081	  0.045	 28.331
            180	  0.000	  0.015	 27.804
            181	  0.070	 -0.005	 27.899
            182	 -0.012	 -0.002	 27.098
            183	  0.000	 -0.168	 26.771
            184	  0.442	  0.326	 26.834
            185	  0.070	  1.214	 25.865
            186	 -0.116	 -0.057	 25.390
            187	  0.361	 -0.082	 25.359
            188	 -0.035	 -0.041	 25.422
            189	  0.326	 -0.035	 25.749
            190	  0.035	 -0.026	 25.274
            191	 -0.012	 -0.008	 24.568
            192	  0.012	  0.008	 23.251
            193	 -0.081	  0.026	 21.459
            194	  0.116	  0.050	 21.406
            195	  0.116	  0.084	 21.986
            196	 -0.070	  0.092	 21.459
            197	 -0.081	  0.074	 20.753
            198	  0.093	  0.048	 20.468
            199	  0.163	  0.024	 20.995
            200	 -0.047	  0.014	 21.027
            201	  0.047	  0.010	 20.837
            202	  0.175	  0.010	 21.470
            203	  0.081	  0.010	 21.997
            204	 -0.070	  0.011	 22.365
            205	  0.116	  0.020	 22.935
            206	  0.128	  0.010	 22.429
            207	  0.000	  0.009	 22.070
            208	  0.116	  0.011	 21.870
            209	  0.361	  0.010	 21.997
            210	  0.477	  0.019	 21.986
            211	 -0.012	  0.052	 21.870
            212	  0.070	  0.048	 21.870
            213	  0.035	  0.014	 21.659
            214	 -0.070	  0.007	 22.460
            215	 -0.047	  0.007	 22.819
            216	 -0.012	 -0.200	 23.873
            217	  0.314	  0.664	 24.105
            218	 -0.035	  0.844	 23.841
            219	 -0.081	 -0.065	 23.841
            220	  0.407	 -0.047	 23.894
            221	 -0.047	 -0.007	 24.305
            222	 -0.116	 -0.003	 24.389
            223	 -0.012	  0.008	 23.989
            224	 -0.012	  0.020	 23.019
            225	  0.070	  0.035	 21.586
            226	 -0.047	  0.065	 20.047
            227	  0.047	  0.095	 20.015
            228	  0.093	  0.118	 20.026
            229	  0.314	  0.128	 19.172
            230	 -0.105	  0.105	 18.613
            231	  0.000	  0.074	 18.582
            232	  0.093	  0.059	 18.529
            233	  0.012	  0.035	 18.908
            234	  0.035	  0.035	 19.372
            235	  0.047	  0.025	 19.962
            236	 -0.012	  0.025	 20.521
            237	 -0.047	  0.016	 20.932
            238	  0.093	  0.007	 21.311
            239	  0.128	  0.003	 21.512
            240	 -0.012	 -0.000	 21.554
            241	  0.279	  0.002	 20.637
            242	  0.012	  0.005	 21.016
            243	  0.279	  0.021	 20.932
            244	  0.081	  0.059	 21.470
            245	  0.035	  0.015	 21.775
            246	  0.012	 -0.002	 22.292
            247	  0.000	  0.002	 22.987
            248	 -0.047	 -0.114	 23.567
            249	 -0.081	  0.144	 23.989
            250	  0.372	  1.194	 23.862
            251	  0.116	  0.010	 23.483
            252	 -0.081	 -0.088	 23.989
            253	  0.012	 -0.020	 24.252
            254	  0.047	 -0.022	 24.336
            255	 -0.070	 -0.015	 24.073
            256	  0.291	 -0.002	 22.481
            257	  0.279	  0.015	 20.985
            258	 -0.035	  0.037	 19.815
            259	  0.035	  0.064	 19.488
            260	  0.372	  0.099	 19.520
            261	 -0.012	  0.108	 19.024
            262	  0.070	  0.095	 18.150
            263	  0.081	  0.064	 17.464
            264	 -0.012	  0.038	 17.496
            265	  0.093	  0.017	 17.665
            266	  0.047	  0.010	 18.582
            267	 -0.070	  0.007	 18.972
            268	  0.047	  0.010	 19.699
            269	  0.035	  0.005	 20.637
            270	 -0.081	  0.008	 20.521
            271	  0.372	  0.003	 20.869
            272	  0.291	  0.002	 21.027
            273	  0.000	  0.002	 21.059
            274	 -0.081	  0.003	 20.953
            275	  0.035	  0.009	 20.953
            276	  0.128	  0.060	 21.512
            277	 -0.012	  0.035	 21.575
            278	 -0.105	  0.005	 22.070
            279	  0.407	 -0.006	 22.892
            280	  0.093	 -0.010	 23.419
            281	 -0.070	 -0.218	 23.809
            282	  0.035	  0.839	 23.346
            283	  0.012	  0.526	 23.166
            284	 -0.035	 -0.112	 23.567
            285	 -0.081	 -0.055	 23.778
            286	  0.035	 -0.042	 24.189
            287	  0.093	 -0.032	 24.357
            288	 -0.070	 -0.024	 23.072
            289	 -0.081	 -0.005	 21.132
            290	  0.116	  0.009	 19.604
            291	 -0.047	  0.035	 19.646
            292	 -0.047	  0.073	 19.520
            293	  0.268	  0.093	 18.613
            294	  0.128	  0.088	 17.760
            295	  0.035	  0.059	 17.665
            296	  0.035	  0.030	 16.990
            297	  0.047	  0.008	 17.591
            298	  0.093	 -0.002	 18.034
            299	  0.372	 -0.002	 18.497
            300	 -0.070	 -0.007	 19.488
            301	  0.035	 -0.002	 19.994
            302	  0.279	 -0.001	 20.279
            303	  0.070	 -0.002	 20.458
            304	  0.047	 -0.007	 20.405
            305	  0.000	 -0.007	 20.900
            306	  0.081	 -0.007	 21.059
            307	 -0.081	 -0.007	 20.690
            308	  0.209	 -0.008	 20.900
            309	  0.128	  0.010	 21.470
            310	  0.349	  0.027	 21.470
            311	 -0.070	  0.050	 21.406
            312	  0.035	  0.015	 21.986
            313	  0.233	 -0.007	 22.956
            314	 -0.105	 -0.002	 23.462
            315	  0.547	 -0.154	 23.809
            316	  0.116	  0.184	 24.094
            317	  0.070	  1.160	 23.746
            318	  0.198	 -0.022	 23.335
            319	  0.012	 -0.100	 23.873
            320	  0.093	 -0.048	 24.895
            321	 -0.047	 -0.041	 24.484
            322	  0.081	 -0.033	 23.377
            323	  0.093	 -0.022	 21.838
            324	 -0.047	 -0.007	 20.163
            325	  0.314	  0.018	 19.530
            326	  0.035	  0.042	 19.551
            327	  0.314	  0.074	 19.520
            328	 -0.012	  0.084	 19.119
            329	  0.279	  0.061	 18.118
            330	  0.081	  0.030	 18.550
            331	 -0.047	  0.003	 19.109
            332	 -0.070	 -0.007	 19.467
            333	 -0.035	 -0.012	 19.878
            334	 -0.012	 -0.012	 20.605
            335	  0.012	 -0.011	 21.986
            336	  0.035	 -0.008	 22.840
            337	  0.081	 -0.009	 23.430
            338	  0.093	 -0.008	 24.168
            339	  0.268	 -0.017	 25.306
            340	 -0.081	 -0.017	 24.916
            341	  0.035	 -0.014	 25.211
            342	  0.233	 -0.012	 26.276
            343	  0.198	  0.003	 26.750
            344	  0.012	  0.018	 26.771
            345	  0.128	  0.054	 26.455
            346	  0.093	  0.017	 26.866
            347	  0.070	 -0.007	 27.983
            348	  0.175	 -0.007	 30.239
            349	  0.116	 -0.088	 31.240
            350	 -0.070	  0.002	 31.229
            351	 -0.081	  1.298	 29.796
            352	  0.070	  0.060	 29.764
            353	  0.209	 -0.111	 29.849
            354	 -0.012	 -0.042	 29.364
            355	  0.000	 -0.046	 29.511
            356	 -0.012	 -0.034	 29.269
            357	  0.268	 -0.021	 28.120
            358	 -0.105	 -0.002	 25.095
            359	  0.012	  0.012	 22.935
            360	  0.035	  0.035	 22.460
            361	  0.081	  0.074	 23.008
            362	  0.093	  0.085	 21.701
            363	  0.012	  0.079	 20.911
            364	  0.070	  0.053	 20.553
            365	  0.012	  0.024	 20.468
            366	 -0.081	  0.010	 20.405
            367	  0.047	  0.003	 21.016
            368	  0.000	  0.002	 21.554
            369	 -0.035	  0.008	 22.039
            370	 -0.012	  0.008	 22.777
            371	  0.233	  0.016	 22.871
            372	  0.000	  0.014	 23.546
            373	  0.175	  0.015	 23.335
            374	  0.361	  0.011	 23.377
            375	  0.070	  0.003	 23.451
            376	  0.035	  0.010	 23.451
            377	  0.163	  0.020	 23.346
            378	  0.233	  0.047	 23.778
            379	  0.081	  0.053	 23.493
            380	  0.291	  0.020	 23.757
            381	 -0.035	  0.003	 23.831
            382	  0.326	 -0.003	 25.159
            383	  0.291	 -0.197	 25.738
            384	  0.035	  0.509	 25.390
            385	  0.151	  1.035	 25.664
            386	  0.000	 -0.081	 25.749
            387	  0.093	 -0.072	 25.981
            388	  0.070	 -0.032	 26.212
            389	  0.093	 -0.026	 26.371
            390	  0.128	 -0.012	 25.812
            391	  0.268	  0.002	 24.168
            392	  0.244	  0.008	 22.871
            393	  0.035	  0.030	 21.786
            394	  0.081	  0.058	 21.628
            395	 -0.081	  0.095	 21.080
            396	  0.012	  0.099	 20.437
            397	  0.035	  0.086	 20.057
            398	 -0.070	  0.056	 19.319
            399	  0.116	  0.035	 19.383
            400	  0.000	  0.025	 19.467
            401	  0.093	  0.020	 19.520
            402	  0.163	  0.020	 19.994
            403	 -0.081	  0.020	 20.784
            404	  0.047	  0.015	 21.470
            405	  0.116	  0.010	 21.459
            406	  0.372	  0.008	 21.438
            407	  0.035	  0.009	 21.080
            408	  0.012	  0.007	 20.964
            409	 -0.035	  0.010	 20.964
            410	 -0.070	  0.008	 21.322
            411	  0.000	  0.059	 21.375
            412	  0.070	  0.034	 21.491
            413	  0.081	  0.007	 21.723
            414	 -0.105	  0.003	 22.481
            415	  0.070	 -0.013	 23.314
            416	  0.047	 -0.183	 23.904
            417	 -0.047	  1.005	 24.020
            418	 -0.035	  0.395	 23.809
            419	  0.000	 -0.101	 23.957
            420	  0.093	 -0.049	 23.567
            421	 -0.105	 -0.036	 24.389
            422	  0.035	 -0.026	 24.336
            423	  0.012	 -0.017	 23.725
            424	  0.000	 -0.003	 22.144
            425	  0.291	  0.011	 21.016
            426	  0.012	  0.037	 19.583
            427	  0.128	  0.069	 19.341
            428	 -0.012	  0.089	 19.794
            429	  0.349	  0.088	 18.993
            430	  0.000	  0.071	 18.086
            431	  0.116	  0.041	 18.055
            432	 -0.012	  0.020	 18.634
            433	  0.035	  0.007	 18.940
            434	  0.047	  0.011	 19.530
            435	 -0.047	  0.011	 19.910
            436	 -0.070	  0.015	 20.405
            437	 -0.047	  0.010	 20.879
            438	  0.035	  0.015	 20.721
            439	  0.081	  0.010	 21.586
            440	  0.372	  0.002	 20.911
            441	  0.326	  0.007	 20.574
            442	  0.012	  0.012	 20.964
            443	  0.349	  0.044	 21.174
            444	 -0.116	  0.057	 21.427
            445	  0.442	  0.015	 21.881
            446	  0.035	  0.002	 22.460
            447	 -0.035	  0.002	 23.166
            448	 -0.070	 -0.169	 23.831
            449	  0.081	  0.321	 24.400
            450	  0.070	  1.077	 24.463
            451	 -0.081	 -0.050	 24.252
            452	  0.000	 -0.088	 24.948
            453	  0.314	 -0.031	 25.833
            454	 -0.035	 -0.026	 26.455
            455	 -0.105	 -0.022	 25.981
            456	  0.128	 -0.013	 24.916
            457	  0.372	  0.007	 22.692
            458	  0.209	  0.030	 21.997
